Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
Bio Inc. Redemption,https://store.steampowered.com/app/612470/Bio_Inc_Redemption/?snr=1_7_7_240_150_4,DryGin Studios,DryGin Studios,"Medical Sim,Simulation,Strategy,Indie,Gore,Singleplayer,Difficult,Multiplayer,Outbreak Sim,Atmospheric,Post-apocalyptic,Sandbox,Early Access,RTS,Zombies,Education,Nudity",win,,"8 Mar, 2018",209₴,9,0.89,1635
Screeps: World,https://store.steampowered.com/app/464350/Screeps_World/?snr=1_7_7_240_150_2,"Screeps, LLC","Screeps, LLC","Programming,Strategy,Massively Multiplayer,Open World,Sandbox,Logic,Base Building,RTS,Minimalist,Difficult,Economy,Indie,Hacking,Colony Sim,Idler,Simulation,Artificial Intelligence,Asynchronous Multiplayer,Building,Management","linux, mac, win",Minimalist,"16 Nov, 2016",249₴,9,0.89,1547
Spellsworn,https://store.steampowered.com/app/360620/Spellsworn/?snr=1_7_7_240_150_8,Frogsong Studios,Frogsong Studios,"Magic,Free to Play,Action,Multiplayer,Indie,Early Access,Dark Fantasy,Strategy,Online Co-Op,Fantasy,MOBA,RPG,PvP,Co-op,Action RPG,Battle Royale,eSports,RTS,Action RTS,3D","linux, win",3D,"13 Mar, 2018",Free To Play,9,0.89,1350
Grim Nights,https://store.steampowered.com/app/947300/Grim_Nights/?snr=1_7_7_240_150_4,Edym Pixels,Edym Pixels,"Strategy,Tower Defense,Survival,Base Building,2D,Side Scroller,RTS,Zombies,Management,Building,Singleplayer,Difficult,Fantasy,Pixel Graphics,Medieval,Tactical,Retro",win,"2D,Pixel Graphics","12 Oct, 2018",74₴,9,0.89,1263
CastleStorm,https://store.steampowered.com/app/241410/CastleStorm/?snr=1_7_7_240_150_8,Zen Studios,Zen Studios,"Indie,Funny,Destruction,Action,Tower Defense,Strategy,Fantasy,Casual,Co-op,Singleplayer,Local Multiplayer,Medieval,Comedy,2D,Local Co-Op,Multiplayer,Split Screen,Physics,Arcade,RTS",win,"2D,Split Screen","29 Jul, 2013",169₴,9,0.89,1157
Northgard,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_240_150_1,Shiro Games,Shiro Games,"Strategy,City Builder,Simulation,RTS,Base Building,Building,Colony Sim,4X,Tactical,Economy,Management,War,Moddable,PvP,PvE,Singleplayer,Multiplayer,Co-op,Vikings,Resource Management","music, linux, mac, win",,"7 Mar, 2018",113₴,9,0.88,41960
Homeworld Remastered Collection,https://store.steampowered.com/app/244160/Homeworld_Remastered_Collection/?snr=1_7_7_240_150_2,"Gearbox Software, Aspyr (Mac)","Gearbox Software, Aspyr (Mac)","Space,Strategy,RTS,Sci-fi,Classic,Great Soundtrack,Story Rich,Multiplayer,Atmospheric,Remake,Simulation,Tactical,Singleplayer,Moddable,Epic,Action,Adventure,4X,Female Protagonist,Futuristic","mac, win",,"25 Feb, 2015",921₴,9,0.88,9903
Starship Troopers: Terran Command,https://store.steampowered.com/app/1202130/Starship_Troopers_Terran_Command/?snr=1_7_7_240_150_1,The Artistocrats,The Artistocrats,"Strategy,RTS,Singleplayer,Military,Tactical,War,Sci-fi,Resource Management,Real-Time,Wargame,Base Building,Replay Value,Great Soundtrack,Artificial Intelligence,Aliens,Tower Defense,Multiplayer,Gore,Villain Protagonist,City Builder",win,,"16 Jun, 2022",379₴,9,0.88,6146
112 Operator,https://store.steampowered.com/app/793460/112_Operator/?snr=1_7_7_240_150_2,Jutsu Games,Jutsu Games,"Simulation,Realistic,Casual,Moddable,Time Management,Modern,Singleplayer,Management,Strategy,Education,Minimalist,Immersive Sim,Medical Sim,Open World,Procedural Generation,RTS,Sandbox,2D,Real Time Tactics,Heist","music, mac, win","Realistic,Minimalist,2D","23 Apr, 2020",778₴,9,0.88,3772
Men of War: Assault Squad,https://store.steampowered.com/app/64000/Men_of_War_Assault_Squad/?snr=1_7_7_240_150_3,Digitalmindsoft,Digitalmindsoft,"Strategy,World War II,Tactical,War,RTS,Multiplayer,Military,Realistic,Real Time Tactics,Action,Co-op,Historical,Simulation,Moddable,Tanks,Destruction,Singleplayer,Level Editor,Epic,Sandbox",win,Realistic,"24 Feb, 2011",2 620₴,9,0.88,3431
Overlord II,https://store.steampowered.com/app/12810/Overlord_II/?snr=1_7_7_240_150_4,Triumph Studios,Triumph Studios,"RPG,Villain Protagonist,Fantasy,Singleplayer,Dark Fantasy,Funny,Comedy,Third Person,Action,Magic,Adventure,Strategy,Dark Humor,Action RPG,Open World,Action-Adventure,Puzzle,Multiplayer,Atmospheric,RTS",win,Third Person,"23 Jun, 2009",484₴,9,0.88,3236
Ultimate Epic Battle Simulator 2,https://store.steampowered.com/app/1468720/Ultimate_Epic_Battle_Simulator_2/?snr=1_7_7_240_150_1,Brilliant Game Studios,Brilliant Game Studios,"Early Access,Simulation,Action,Strategy,Sandbox,God Game,RTS,Grand Strategy,Wargame,Choose Your Own Adventure,Real Time Tactics,Exploration,3D,Hack and Slash,Cinematic,Colorful,First-Person,Realistic,Third Person,Top-Down",win,"3D,Cinematic,Colorful,First-Person,Realistic,Third Person,Top-Down","12 May, 2022",279₴,9,0.88,3197
Warpips,https://store.steampowered.com/app/1291010/Warpips/?snr=1_7_7_240_150_2,Skirmish Mode Games,Skirmish Mode Games,"Strategy,Tower Defense,RTS,War,Resource Management,Tactical,Auto Battler,Singleplayer,Indie,Pixel Graphics,2.5D,Base Building,Combat,Early Access,Wargame,Action,Vehicular Combat,Stylized,Real Time Tactics,3D",win,"Pixel Graphics,2.5D,Stylized,3D","21 Apr, 2022",346₴,9,0.88,2957
Battle Realms: Zen Edition,https://store.steampowered.com/app/1025600/Battle_Realms_Zen_Edition/?snr=1_7_7_240_150_2,Ed Del Castillo,Ed Del Castillo,"Strategy,Action,RTS,Early Access,Classic,Fantasy,Multiplayer,Fast-Paced",win,,"3 Dec, 2019",169₴,9,0.88,2473
Cossacks: Back to War,https://store.steampowered.com/app/4850/Cossacks_Back_to_War/?snr=1_7_7_240_150_2,GSC Game World,GSC Game World,"Strategy,Classic,RTS,Multiplayer,Historical,War,Singleplayer,Nostalgia",win,,"1 Nov, 2002",1 188₴,9,0.88,2038
Supreme Commander,https://store.steampowered.com/app/9350/Supreme_Commander/?snr=1_7_7_240_150_2,Gas Powered Games,Gas Powered Games,"Strategy,RTS,Sci-fi,Multiplayer,Real-Time,Base Building,Co-op,Real-Time with Pause,Singleplayer,Robots,Action,Classic,Space,Great Soundtrack",win,,"20 Feb, 2007",507₴,9,0.88,1782
